dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.0,1.0,0,quantile,global,0.6390086206896552,,,0.6390086206896552
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.0,1.0,1,quantile,global,0.6918103448275861,,,0.6918103448275861
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.0,1.0,2,quantile,global,0.7101293103448276,,,0.7101293103448276
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.0,1.0,3,quantile,global,0.5668103448275862,,,0.5668103448275862
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.0,1.0,0,quantile,global,0.7435344827586207,,,0.7435344827586207
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.0,1.0,1,quantile,global,0.8372844827586207,,,0.8372844827586207
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.0,1.0,2,quantile,global,0.7747844827586207,,,0.7747844827586207
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.0,1.0,3,quantile,global,0.7607758620689655,,,0.7607758620689655
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.0,1.0,0,quantile,global,0.5708333333333333,,,0.5708333333333333
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.0,1.0,1,quantile,global,0.5604166666666667,,,0.5604166666666667
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.0,1.0,2,quantile,global,0.6020833333333333,,,0.6020833333333333
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.0,1.0,3,quantile,global,0.5999999999999999,,,0.5999999999999999
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.0,1.0,0,quantile,global,0.7604166666666666,,,0.7604166666666666
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.0,1.0,1,quantile,global,0.625,,,0.625
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.0,1.0,2,quantile,global,0.7125,,,0.7125
lifesnaps,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.0,1.0,3,quantile,global,0.6854166666666667,,,0.6854166666666667
