dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.0,1.0,0,quantile,global,0.8078441748758446,,,0.8078441748758446
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.0,1.0,1,quantile,global,0.8038752747700073,,,0.8038752747700073
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.0,1.0,2,quantile,global,0.8148864283969713,,,0.8148864283969713
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.0,1.0,3,quantile,global,0.8174305951314825,,,0.8174305951314825
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.0,1.0,0,quantile,global,0.8264657308009908,,,0.8264657308009908
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.0,1.0,1,quantile,global,0.8548720066061106,,,0.8548720066061106
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.0,1.0,2,quantile,global,0.8177126341866225,,,0.8177126341866225
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.0,1.0,3,quantile,global,0.8175474814203137,,,0.8175474814203137
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.0,1.0,0,quantile,global,0.8085921325051759,,,0.8085921325051759
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.0,1.0,1,quantile,global,0.8198757763975155,,,0.8198757763975155
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.0,1.0,2,quantile,global,0.8028985507246377,,,0.8028985507246377
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.0,1.0,3,quantile,global,0.8160455486542443,,,0.8160455486542443
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.0,1.0,0,quantile,global,0.7934782608695652,,,0.7934782608695652
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.0,1.0,1,quantile,global,0.7820910973084886,,,0.7820910973084886
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.0,1.0,2,quantile,global,0.7900621118012423,,,0.7900621118012423
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.0,1.0,3,quantile,global,0.7891304347826088,,,0.7891304347826088
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.0,1.0,0,quantile,global,0.7922841396203306,,,0.7922841396203306
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.0,1.0,1,quantile,global,0.7960400081649316,,,0.7960400081649316
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.0,1.0,2,quantile,global,0.8086548275158196,,,0.8086548275158196
pmdata,run,sup,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.0,1.0,3,quantile,global,0.7995305164319249,,,0.7995305164319249
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,0.1,0,quantile,global,0.5532239680859724,0.5,0.7829316942115119,0.7829316942115119
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,0.1,1,quantile,global,0.5014450867052023,0.5,0.7791459741105593,0.7791459741105593
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,0.1,2,quantile,global,0.5003460066758935,0.5187861271676301,0.7993568346495155,0.7993568346495155
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,0.1,3,quantile,global,0.5509647480257266,0.5,0.7749938939998372,0.7749938939998372
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,0.1,0,quantile,global,0.5479768786127167,0.5067299752270851,0.7364987613542527,0.7364987613542527
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,0.1,1,quantile,global,0.5159785301403799,0.5,0.7290255986787779,0.7290255986787779
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,0.1,2,quantile,global,0.5071428571428571,0.5667630057803468,0.7544591246903386,0.7544591246903386
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,0.1,3,quantile,global,0.5451692815854665,0.5,0.7719653179190752,0.7719653179190752
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,0.1,0,quantile,global,0.5328157349896481,0.5071428571428571,0.7871635610766045,0.7871635610766045
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,0.1,1,quantile,global,0.5175983436853002,0.5,0.8076604554865425,0.8076604554865425
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,0.1,2,quantile,global,0.5056935817805384,0.5063146997929607,0.8149068322981367,0.8149068322981367
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,0.1,3,quantile,global,0.5162525879917184,0.5,0.7931677018633541,0.7931677018633541
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.1,0,quantile,global,0.5607660455486542,0.5105590062111801,0.7346790890269151,0.7346790890269151
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.1,1,quantile,global,0.5178053830227742,0.5,0.7320910973084886,0.7320910973084886
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.1,2,quantile,global,0.5012422360248446,0.5511387163561077,0.7728778467908902,0.7728778467908902
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.1,3,quantile,global,0.5198757763975156,0.5,0.7416149068322981,0.7416149068322981
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.1,0,quantile,global,0.5560114309042662,0.5,0.7485813431312512,0.7485813431312512
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.1,1,quantile,global,0.5339457032047357,0.5039395795060216,0.746927944478465,0.746927944478465
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.1,2,quantile,global,0.5377015717493366,0.5479485609308022,0.7738518064911206,0.7738518064911206
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.1,3,quantile,global,0.495366401306389,0.5070422535211268,0.7396815676668708,0.7396815676668708
