dataset,clf,fold,seed,acc,auc
lifesnaps,xgboost,0,0,0.6666666666666666,0.615301724137931
lifesnaps,xgboost,0,1,0.6666666666666666,0.615301724137931
lifesnaps,xgboost,0,2,0.6666666666666666,0.615301724137931
lifesnaps,xgboost,0,3,0.6666666666666666,0.615301724137931
lifesnaps,xgboost,1,0,0.7111111111111111,0.677801724137931
lifesnaps,xgboost,1,1,0.7111111111111111,0.677801724137931
lifesnaps,xgboost,1,2,0.7111111111111111,0.677801724137931
lifesnaps,xgboost,1,3,0.7111111111111111,0.677801724137931
lifesnaps,xgboost,2,0,0.6086956521739131,0.56875
lifesnaps,xgboost,2,1,0.6086956521739131,0.56875
lifesnaps,xgboost,2,2,0.6086956521739131,0.56875
lifesnaps,xgboost,2,3,0.6086956521739131,0.56875
lifesnaps,xgboost,3,0,0.717391304347826,0.6229166666666667
lifesnaps,xgboost,3,1,0.717391304347826,0.6229166666666667
lifesnaps,xgboost,3,2,0.717391304347826,0.6229166666666667
lifesnaps,xgboost,3,3,0.717391304347826,0.6229166666666667
lifesnaps,xgboost,4,0,0.7391304347826086,0.6541666666666667
lifesnaps,xgboost,4,1,0.7391304347826086,0.6541666666666667
lifesnaps,xgboost,4,2,0.7391304347826086,0.6541666666666667
lifesnaps,xgboost,4,3,0.7391304347826086,0.6541666666666667
lifesnaps,random forest,0,0,0.7555555555555555,0.7122844827586207
lifesnaps,random forest,0,1,0.6666666666666666,0.615301724137931
lifesnaps,random forest,0,2,0.6888888888888889,0.646551724137931
lifesnaps,random forest,0,3,0.6888888888888889,0.646551724137931
lifesnaps,random forest,1,0,0.6666666666666666,0.6293103448275861
lifesnaps,random forest,1,1,0.7777777777777778,0.7015086206896552
lifesnaps,random forest,1,2,0.7111111111111111,0.6497844827586207
lifesnaps,random forest,1,3,0.7555555555555555,0.6982758620689655
lifesnaps,random forest,2,0,0.6086956521739131,0.525
lifesnaps,random forest,2,1,0.5869565217391305,0.49375
lifesnaps,random forest,2,2,0.5652173913043478,0.4770833333333333
lifesnaps,random forest,2,3,0.6086956521739131,0.5104166666666667
lifesnaps,random forest,3,0,0.717391304347826,0.6083333333333333
lifesnaps,random forest,3,1,0.7391304347826086,0.6395833333333334
lifesnaps,random forest,3,2,0.717391304347826,0.6229166666666667
lifesnaps,random forest,3,3,0.7608695652173914,0.65625
lifesnaps,random forest,4,0,0.7391304347826086,0.6395833333333334
lifesnaps,random forest,4,1,0.717391304347826,0.6229166666666667
lifesnaps,random forest,4,2,0.6956521739130435,0.5770833333333334
lifesnaps,random forest,4,3,0.6739130434782609,0.5604166666666667
pmdata,xgboost,0,0,0.8776978417266187,0.7192054058454774
pmdata,xgboost,0,1,0.8776978417266187,0.7192054058454774
pmdata,xgboost,0,2,0.8776978417266187,0.7192054058454774
pmdata,xgboost,0,3,0.8776978417266187,0.7192054058454774
pmdata,xgboost,1,0,0.8894230769230769,0.7739884393063584
pmdata,xgboost,1,1,0.8894230769230769,0.7739884393063584
pmdata,xgboost,1,2,0.8894230769230769,0.7739884393063584
pmdata,xgboost,1,3,0.8894230769230769,0.7739884393063584
pmdata,xgboost,2,0,0.8867469879518072,0.7553830227743271
pmdata,xgboost,2,1,0.8867469879518072,0.7553830227743271
pmdata,xgboost,2,2,0.8867469879518072,0.7553830227743271
pmdata,xgboost,2,3,0.8867469879518072,0.7553830227743271
pmdata,xgboost,3,0,0.891566265060241,0.7412008281573499
pmdata,xgboost,3,1,0.891566265060241,0.7412008281573499
pmdata,xgboost,3,2,0.891566265060241,0.7412008281573499
pmdata,xgboost,3,3,0.891566265060241,0.7412008281573499
pmdata,xgboost,4,0,0.8798076923076923,0.7485609308022046
pmdata,xgboost,4,1,0.8798076923076923,0.7485609308022046
pmdata,xgboost,4,2,0.8798076923076923,0.7485609308022046
pmdata,xgboost,4,3,0.8798076923076923,0.7485609308022046
pmdata,random forest,0,0,0.8776978417266187,0.6800252381340063
pmdata,random forest,0,1,0.8872901678657075,0.7081942522185134
pmdata,random forest,0,2,0.8752997601918465,0.6729829846128796
pmdata,random forest,0,3,0.8800959232613909,0.6926646584710575
pmdata,random forest,1,0,0.9110576923076923,0.7585053674649049
pmdata,random forest,1,1,0.9086538461538461,0.7627580511973575
pmdata,random forest,1,2,0.90625,0.7613129644921552
pmdata,random forest,1,3,0.9134615384615384,0.771345995045417
pmdata,random forest,2,0,0.891566265060241,0.7184265010351967
pmdata,random forest,2,1,0.8939759036144578,0.7255693581780539
pmdata,random forest,2,2,0.8987951807228916,0.7227743271221532
pmdata,random forest,2,3,0.8939759036144578,0.7255693581780539
pmdata,random forest,3,0,0.9036144578313253,0.7427536231884059
pmdata,random forest,3,1,0.8987951807228916,0.7341614906832299
pmdata,random forest,3,2,0.9012048192771084,0.7356107660455486
pmdata,random forest,3,3,0.8939759036144578,0.7141821946169773
pmdata,random forest,4,0,0.8870192307692307,0.7137579097775056
pmdata,random forest,4,1,0.8918269230769231,0.7166564605021434
pmdata,random forest,4,2,0.8822115384615384,0.7108593590528679
pmdata,random forest,4,3,0.8774038461538461,0.7079608083282303
