dataset,clf,fold,seed,acc,auc
lifesnaps,xgboost,0,0,0.6444444444444445,0.5980603448275862
lifesnaps,xgboost,0,1,0.6444444444444445,0.5980603448275862
lifesnaps,xgboost,0,2,0.6444444444444445,0.5980603448275862
lifesnaps,xgboost,0,3,0.6444444444444445,0.5980603448275862
lifesnaps,xgboost,1,0,0.7555555555555555,0.7543103448275862
lifesnaps,xgboost,1,1,0.7555555555555555,0.7543103448275862
lifesnaps,xgboost,1,2,0.7555555555555555,0.7543103448275862
lifesnaps,xgboost,1,3,0.7555555555555555,0.7543103448275862
lifesnaps,xgboost,2,0,0.5,0.44166666666666665
lifesnaps,xgboost,2,1,0.5,0.44166666666666665
lifesnaps,xgboost,2,2,0.5,0.44166666666666665
lifesnaps,xgboost,2,3,0.5,0.44166666666666665
lifesnaps,xgboost,3,0,0.8260869565217391,0.7791666666666667
lifesnaps,xgboost,3,1,0.8260869565217391,0.7791666666666667
lifesnaps,xgboost,3,2,0.8260869565217391,0.7791666666666667
lifesnaps,xgboost,3,3,0.8260869565217391,0.7791666666666667
lifesnaps,xgboost,4,0,0.6956521739130435,0.6645833333333333
lifesnaps,xgboost,4,1,0.6956521739130435,0.6645833333333333
lifesnaps,xgboost,4,2,0.6956521739130435,0.6645833333333333
lifesnaps,xgboost,4,3,0.6956521739130435,0.6645833333333333
lifesnaps,random forest,0,0,0.6666666666666666,0.615301724137931
lifesnaps,random forest,0,1,0.6666666666666666,0.615301724137931
lifesnaps,random forest,0,2,0.6666666666666666,0.615301724137931
lifesnaps,random forest,0,3,0.6888888888888889,0.646551724137931
lifesnaps,random forest,1,0,0.8,0.7607758620689655
lifesnaps,random forest,1,1,0.7111111111111111,0.6637931034482759
lifesnaps,random forest,1,2,0.7111111111111111,0.6637931034482759
lifesnaps,random forest,1,3,0.6888888888888889,0.6605603448275862
lifesnaps,random forest,2,0,0.6086956521739131,0.5395833333333333
lifesnaps,random forest,2,1,0.6086956521739131,0.5395833333333333
lifesnaps,random forest,2,2,0.6304347826086957,0.55625
lifesnaps,random forest,2,3,0.6304347826086957,0.5708333333333333
lifesnaps,random forest,3,0,0.8695652173913043,0.8416666666666667
lifesnaps,random forest,3,1,0.8913043478260869,0.8583333333333333
lifesnaps,random forest,3,2,0.8478260869565217,0.7958333333333333
lifesnaps,random forest,3,3,0.8695652173913043,0.8416666666666667
lifesnaps,random forest,4,0,0.7608695652173914,0.7000000000000001
lifesnaps,random forest,4,1,0.8043478260869565,0.7479166666666667
lifesnaps,random forest,4,2,0.782608695652174,0.73125
lifesnaps,random forest,4,3,0.782608695652174,0.73125
pmdata,xgboost,0,0,0.8872901678657075,0.7361800862981356
pmdata,xgboost,0,1,0.8872901678657075,0.7361800862981356
pmdata,xgboost,0,2,0.8872901678657075,0.7361800862981356
pmdata,xgboost,0,3,0.8872901678657075,0.7361800862981356
pmdata,xgboost,1,0,0.9014423076923077,0.8040049545829892
pmdata,xgboost,1,1,0.9014423076923077,0.8040049545829892
pmdata,xgboost,1,2,0.9014423076923077,0.8040049545829892
pmdata,xgboost,1,3,0.9014423076923077,0.8040049545829892
pmdata,xgboost,2,0,0.8674698795180723,0.7267080745341615
pmdata,xgboost,2,1,0.8674698795180723,0.7267080745341615
pmdata,xgboost,2,2,0.8674698795180723,0.7267080745341615
pmdata,xgboost,2,3,0.8674698795180723,0.7267080745341615
pmdata,xgboost,3,0,0.8963855421686747,0.7725672877846791
pmdata,xgboost,3,1,0.8963855421686747,0.7725672877846791
pmdata,xgboost,3,2,0.8963855421686747,0.7725672877846791
pmdata,xgboost,3,3,0.8963855421686747,0.7725672877846791
pmdata,xgboost,4,0,0.8870192307692307,0.7696876913655848
pmdata,xgboost,4,1,0.8870192307692307,0.7696876913655848
pmdata,xgboost,4,2,0.8870192307692307,0.7696876913655848
pmdata,xgboost,4,3,0.8870192307692307,0.7696876913655848
pmdata,random forest,0,0,0.8848920863309353,0.695554831881462
pmdata,random forest,0,1,0.8729016786570744,0.6771350647236016
pmdata,random forest,0,2,0.8920863309352518,0.7110844256289179
pmdata,random forest,0,3,0.8896882494004796,0.7152365057396401
pmdata,random forest,1,0,0.90625,0.7670107349298101
pmdata,random forest,1,1,0.9014423076923077,0.7641205615194054
pmdata,random forest,1,2,0.9014423076923077,0.7641205615194054
pmdata,random forest,1,3,0.9038461538461539,0.7655656482246078
pmdata,random forest,2,0,0.8867469879518072,0.7098343685300207
pmdata,random forest,2,1,0.891566265060241,0.7184265010351967
pmdata,random forest,2,2,0.9036144578313253,0.7427536231884059
pmdata,random forest,2,3,0.8891566265060241,0.7169772256728778
pmdata,random forest,3,0,0.8939759036144578,0.7141821946169773
pmdata,random forest,3,1,0.8987951807228916,0.7398550724637681
pmdata,random forest,3,2,0.8939759036144578,0.7312629399585922
pmdata,random forest,3,3,0.8939759036144578,0.7255693581780539
pmdata,random forest,4,0,0.8846153846153846,0.7346805470504185
pmdata,random forest,4,1,0.8918269230769231,0.744621351296183
pmdata,random forest,4,2,0.8870192307692307,0.7417228005715452
pmdata,random forest,4,3,0.8894230769230769,0.7375790977750563
